0,Office Products,
1, Office Paper Products,0
2, Office Electronics,0
3,Electronics,
4, Home Audio,3
5," Headphones, Earbuds & Accessories",3
6, Wearable Technology,3
7, Mobiles & Accessories,3
8, Accessories,3
9, General Purpose Batteries & Battery Chargers,3
10, Power Accessories,3
11," Home Theater, T V & Video",3
12, Cameras & Photography,3
13,Musical Instruments,
14, Microphones,13
15,Home & Kitchen,
16, Kitchen & Home Appliances,15
17, Craft Materials,15
18," Heating, Cooling & Air Quality",15
19, Home Storage & Organization,15
20, Kitchen & Dining,15
21,Computers & Accessories,
22, Components,21
23, Accessories & Peripherals,21
24, Laptops,21
25, Tablets,21
26," Printers, Inks & Accessories",21
27, Monitors,21
28, External Devices & Data Storage,21
29, Networking Devices,21
30,Home Improvement,
31, Electrical,30
32,Toys & Games,
33, Arts & Crafts,32
34,Car & Motorbike,
35, Car Accessories,34
36,Health & Personal Care,
37, Home Medical Supplies & Equipment,36
